,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
0,Scan 2024-02-14 1120-13.jpeg,1946-1947,Othello,1946-09-28,openingsvoorstelling,ned,False,667941,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
2,Scan 2024-02-14 1120-23.jpeg,1946-1947,Traviata,1946-09-29,,ned,False,989553,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
3,Scan 2024-02-14 1120-25.jpeg,1946-1947,Faust,1946-09-29,,ned,False,170892,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
4,Scan 2024-02-14 1120-28.jpeg,1946-1947,De Vogelhandelaar,1946-10-01,galavoorstelling,ned,False,909508,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
5,Scan 2024-02-14 1120-30.jpeg,1946-1947,Othello,1946-10-03,,ned,False,176997,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
6,Scan 2024-02-14 1120-32.jpeg,1946-1947,Faust,1946-10-05,,ned,False,798647,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
7,Scan 2024-02-14 1120-34.jpeg,1946-1947,De Vogelhandelaar,1946-10-06,,ned,False,739305,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
8,Scan 2024-02-14 1120-36.jpeg,1946-1947,Traviata,1946-10-06,,ned,False,873318,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
9,Scan 2024-02-14 1120-38.jpeg,1946-1947,Madame Butterfly,1946-10-08,,ned,False,583143,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
10,Scan 2024-02-14 1120-40.jpeg,1946-1947,Margared,1946-10-10,,ned,False,654425,Margared,FR,Édouard Lalo,1888,Le Roi d’Ys,romantische opera,Unk,1946-1947,August Baeyens
