Image;Collection;Production;Date;Occasion;Leaflet Language
Scan 2024-02-14 1120-1.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-2.jpeg;1946-1947;;;;
Scan 2024-02-14 1120-3.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-4.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-5.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-6.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-7.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-8.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-9.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-10.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-11.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-12.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-13.jpeg;1946-1947;Othello;28/09/1946;openingsvoorstelling;ned
Scan 2024-02-14 1120-14.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-15.jpeg;1946-1947;;;;
Scan 2024-02-14 1120-16.jpeg;1946-1947;;;;
Scan 2024-02-14 1120-17.jpeg;1946-1947;;;;
Scan 2024-02-14 1120-18.jpeg;1946-1947;;;;
Scan 2024-02-14 1120-19.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-20.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-21.jpeg;1946-1947;Othello;28/09/1946;openingsvoorstelling;ned
Scan 2024-02-14 1120-22.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-23.jpeg;1946-1947;Traviata;29/09/1946;;ned
Scan 2024-02-14 1120-24.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-25.jpeg;1946-1947;Faust;29/09/1946;;ned
Scan 2024-02-14 1120-26.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-27.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-28.jpeg;1946-1947;De Vogelhandelaar;01/10/1946;galavoorstelling;ned
Scan 2024-02-14 1120-29.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-30.jpeg;1946-1947;Othello;03/10/1946;;ned
Scan 2024-02-14 1120-31.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-32.jpeg;1946-1947;Faust;05/10/1946;;ned
Scan 2024-02-14 1120-33.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-34.jpeg;1946-1947;De Vogelhandelaar;06/10/1946;;ned
Scan 2024-02-14 1120-35.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-36.jpeg;1946-1947;Traviata;06/10/1946;;ned
Scan 2024-02-14 1120-37.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-38.jpeg;1946-1947;Madame Butterfly;08/10/1946;;ned
Scan 2024-02-14 1120-39.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-40.jpeg;1946-1947;Margared;10/10/1946;;ned
Scan 2024-02-14 1120-41.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-42.jpeg;1946-1947;De Vogelhandelaar;12/10/1946;;ned
Scan 2024-02-14 1120-43.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-44.jpeg;1946-1947;Faust;13/10/1946;;ned
Scan 2024-02-14 1120-45.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-46.jpeg;1946-1947;Othello;13/10/1946;;ned
Scan 2024-02-14 1120-47.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-48.jpeg;1946-1947;Traviata;15/10/1946;;ned
Scan 2024-02-14 1120-49.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1120-50.jpeg;1946-1947;De Vogelhandelaar;17/10/1946;;ned
Scan 2024-02-14 1132-1.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-2.jpeg;1946-1947;De Rozenkavalier;19/10/1946;;ned
Scan 2024-02-14 1132-3.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-4.jpeg;1946-1947;Othello;20/10/1946;;ned
Scan 2024-02-14 1132-5.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-6.jpeg;1946-1947;De Vogelhandelaar;20/10/1946;;ned
Scan 2024-02-14 1132-7.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-8.jpeg;1946-1947;Faust;22/10/1946;;ned
Scan 2024-02-14 1132-9.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-10.jpeg;1946-1947;De Ontvoering uit het Serail;24/10/1946;;ned
Scan 2024-02-14 1132-11.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-12.jpeg;1946-1947;Madame Butterfly;26/10/1946;;ned
Scan 2024-02-14 1132-13.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-14.jpeg;1946-1947;Margared;27/10/1946;;ned
